,dataset,object,owner,project,property,stars,users
145,gov/vrk/vrk.lt/kandiidato_puslapis,politika/rinkimai/kandidatas/interesas,gov/vrk,rinkimai/tapino_balas,juridinis_asmuo,1.0,1000.0
146,,geografija/salis,,rinkimai/tapino_balas,pavadinimas,0.0,1000.0
147,,geografija/salis,,rinkimai/tapino_balas,priklauso,0.0,1000.0
148,,geografija/naryste,,rinkimai/tapino_balas,nuo,0.0,1000.0
149,,geografija/naryste,,rinkimai/tapino_balas,iki,0.0,1000.0
150,,geografija/konfederacija,,rinkimai/tapino_balas,pavadinimas,0.0,1000.0
151,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,,id,2.0,
152,gov/lrs/ad,politika/seimas/seimo_narys,gov/lrs,,asmens_id,2.0,
153,gov/lrs/ad,politika/seimas/kontaktas,gov/lrs,,id,1.0,
154,gov/lrs/ad,politika/seimas/mandatas,gov/lrs,,id,0.0,
155,gov/lrs/ad,politika/seimas/kadencija,gov/lrs,,id,2.0,
156,gov/lrs/ad,politika/partija,gov/lrs,,id,0.0,
157,gov/lrs/ad,politika/partija,gov/lrs,,pavadinimas,2.0,
158,gov/lrs/ad,politika/seimas/frakcija,gov/lrs,,id,2.0,
159,gov/lrs/ad,politika/seimas/frakcija,gov/lrs,,kadencija,2.0,
160,gov/ivpk/opendata.gov.lt,duomenys/rinkinys,gov/ivpk,,urlid,1.0,
161,gov/savivaldybės/kaunas/municipality/educational_institutions,educational_institution,gov/kaunas/municipality,,name,3.0,
162,gov/savivaldybės/kaunas/municipality/educational_institutions,educational_institution,gov/kaunas/municipality,,id,3.0,
163,gov/savivaldybės/kaunas/municipality/educational_institutions,educational_institution,gov/kaunas/municipality,,address,3.0,
164,gov/savivaldybės/kaunas/municipality/educational_institutions,educational_institution,gov/kaunas/municipality,,management_email,3.0,
165,gov/savivaldybės/kaunas/municipality/educational_institutions,educational_institution,gov/kaunas/municipality,,phone_number,3.0,
166,gov/savivaldybės/kaunas/municipality/educational_institutions,educational_institution,gov/kaunas/municipality,,home_page,3.0,
167,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,object_id,3.0,
168,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,sign_id,3.0,
169,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,type,3.0,
170,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,sign_text,3.0,
171,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,direction_of_effect,3.0,
172,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,rotation_degree,3.0,
173,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,state,3.0,
174,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,GUID,3.0,
175,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,from_top,3.0,
176,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,sign_category,3.0,
177,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,decision_date,3.0,
178,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,implementation_date,3.0,
179,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,duration_start,3.0,
180,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,duration_end,3.0,
181,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,height,3.0,
182,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,ket_number,3.0,
183,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,status,3.0,
184,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,file_sys_name,3.0,
185,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,decision_number,3.0,
186,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,inventorization_padetis,3.0,
187,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,visibility,3.0,
188,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,reflection_group,3.0,
189,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,address,3.0,
190,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,removal_reason,3.0,
191,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,removal_date,3.0,
192,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,global_id,3.0,
193,gov/savivaldybės/kaunas/municipality/road_signs,road_sign,gov/kaunas/municipality,,id_relation,3.0,
194,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,savivaldybė,2.0,
195,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,data,2.0,
196,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,laikas,2.0,
197,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,registro_kodas,2.0,
198,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,įvykio_rūšis,2.0,
199,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,unnamed_5,2.0,
200,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,unnamed_6,2.0,
201,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,dalyvių_skaičius,2.0,
202,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,žuvusių_skaičius,2.0,
203,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,sužeistų_skaičius,2.0,
204,gov/policija/epolicija/eismo_įvykiai,policija/eismas/įvykis,gov/lrs,,dalyvavusių_transporto_priemonių_skaičius,2.0,
